time (s),decision_0_vs_1 (V),decision_0_vs_2 (V),decision_0_vs_3 (V),decision_0_vs_4 (V),decision_0_vs_5 (V),decision_0_vs_6 (V),decision_0_vs_7 (V),decision_0_vs_8 (V),decision_0_vs_9 (V),decision_1_vs_2 (V),decision_1_vs_3 (V),decision_1_vs_4 (V),decision_1_vs_5 (V),decision_1_vs_6 (V),decision_1_vs_7 (V),decision_1_vs_8 (V),decision_1_vs_9 (V),decision_2_vs_3 (V),decision_2_vs_4 (V),decision_2_vs_5 (V),decision_2_vs_6 (V),decision_2_vs_7 (V),decision_2_vs_8 (V),decision_2_vs_9 (V),decision_3_vs_4 (V),decision_3_vs_5 (V),decision_3_vs_6 (V),decision_3_vs_7 (V),decision_3_vs_8 (V),decision_3_vs_9 (V),decision_4_vs_5 (V),decision_4_vs_6 (V),decision_4_vs_7 (V),decision_4_vs_8 (V),decision_4_vs_9 (V),decision_5_vs_6 (V),decision_5_vs_7 (V),decision_5_vs_8 (V),decision_5_vs_9 (V),decision_6_vs_7 (V),decision_6_vs_8 (V),decision_6_vs_9 (V),decision_7_vs_8 (V),decision_7_vs_9 (V),decision_8_vs_9 (V)
6.372E-6,3.002,3.000,3.003,2.999,3.001,2.985,3.000,3.000,3.000,-2.997E-3,3.002,2.966,20.37E-3,16.16E-3,3.001,14.34E-3,2.990,28.23E-3,6.830E-3,-3.451E-3,1.311E-3,2.977,1.584E-3,1.157E-3,12.94E-3,91.56E-6,-1.325E-3,2.994,50.41E-6,519.5E-6,-65.50E-6,-103.3E-6,3.002,3.051,2.999,14.10E-3,2.986,2.997,3.000,2.999,2.990,3.000,972.0E-6,14.81E-3,2.987
6.376E-6,2.280E-3,1.341E-3,3.283E-3,2.995,2.998,2.992,2.994,1.420E-3,2.999,3.002,2.728,2.999,2.992,2.997,7.313E-3,2.995,1.750E-3,226.9E-6,-1.486E-3,-1.570E-3,2.999,7.685E-3,67.06E-3,3.825E-3,22.83E-3,2.995,2.993,2.997,2.996,865.9E-3,2.997,2.996,674.4E-6,2.996,-1.216E-3,2.999,1.214E-3,6.489E-3,792.2E-6,7.329E-3,7.174E-3,6.770E-3,3.000,2.999,8.482E-3
6.380E-6,2.934E-3,2.998,2.994,2.998,2.999,5.294E-3,3.003,2.998,2.999,2.999,3.000,2.999,2.998,2.998,3.001,3.004,3.000,3.002,3.000,-3.972E-3,-3.524E-3,2.992,2.980,3.001,2.997,-11.53E-3,19.20E-3,2.999,3.001,2.999,1.473E-3,-4.616E-3,2.995,1.102E-3,3.000,-1.618E-3,3.000,2.995,3.002,3.001,2.992,3.001,6.760E-3,2.999,2.998
6.384E-6,1.756E-3,2.713E-3,2.997,6.310E-3,-1.476E-3,96.60E-6,2.988,484.8E-6,3.003,2.987,3.001,2.999,3.002,2.998,3.003,3.001,2.988,2.999,-12.61E-6,-3.682E-3,233.5E-6,3.001,1.711E-3,3.005,-1.712E-3,8.867E-3,-606.7E-6,-3.398E-3,4.970E-3,-4.463E-3,963.4E-6,-1.376E-3,3.001,2.992,3.003,6.680E-3,2.992,2.991,2.987,2.998,3.003,3.000,6.795E-3,9.968E-3,3.006
6.388E-6,2.470E-3,-9.827E-3,2.999,2.998,2.999,2.998,2.998,2.999,3.001,3.000,2.992,3.004,8.620E-3,3.010,3.002,2.999,2.996,585.3E-6,3.002,922.4E-6,-468.4E-6,2.997,3.740E-3,2.999,2.997,2.318E-3,3.000,3.000,3.000,2.992,-1.203E-3,-1.235E-3,216.6E-6,1.470E-3,-7.640E-3,43.95E-3,2.994,2.990,3.000,2.999,-23.86E-3,3.000,211.4E-6,2.999,2.999
6.392E-6,1.243E-3,2.999,3.000,2.999,2.998,2.996,2.999,2.999,2.999,12.61E-3,2.999,2.995,2.994,2.998,2.999,2.997,2.995,2.998,2.999,2.999,4.970E-3,2.998,2.996,2.999,2.999,2.999,409.4E-6,2.999,2.999,2.996,1.005E-3,3.731E-3,1.418E-3,3.001,2.999,2.265E-3,2.996,3.001,2.999,2.999,2.995,2.999,2.417E-3,2.999,3.001
6.396E-6,3.001,12.41E-3,2.999,2.998,2.998,2.996,642.7E-6,2.998,3.000,-10.08E-3,3.003,3.124E-3,3.003,2.646E-3,2.998,3.001,2.994,2.998,-2.708E-3,2.998,6.503E-3,1.457E-3,3.002,2.946,-1.897E-3,2.998,-3.085E-3,2.473E-3,2.999,7.229E-3,3.003,-13.00E-3,2.995,3.000,3.000,-3.053E-3,1.465E-3,246.3E-6,-646.3E-6,3.001,3.001,3.001,2.999,3.001,1.125E-3
6.400E-6,-612.9E-6,2.998,2.999,3.001,2.999,2.994,2.995,3.001,3.002,3.000,2.993,2.984,3.000,2.988,3.000,2.991,2.984,-1.041E-3,2.989,14.29E-3,15.46E-3,2.989,3.000,2.992,2.986,-17.71E-3,3.002,2.999,2.999,3.009,-804.2E-6,15.99E-3,-1.099E-3,-1.430E-3,3.035E-3,3.020,3.001,3.000,2.985,3.002,3.062E-3,3.002,2.999,3.000,2.985
6.404E-6,2.998,262.3E-3,2.999,2.999,2.998,1.215E-3,2.998,2.998,2.998,2.999,2.999,1.976E-3,3.000,1.944E-3,1.485E-3,2.999,2.996,2.999,2.229E-3,2.998,4.720E-3,2.993,3.000,2.993,-683.8E-6,4.184E-3,-291.6E-6,2.107E-3,5.807E-3,5.443E-3,3.001,810.5E-6,2.999,2.999,2.999,376.3E-6,652.8E-6,1.155E-3,1.040E-3,2.998,2.999,2.998,2.998,2.999,2.723E-3
6.408E-6,577.6E-6,2.998,2.999,2.999,2.998,2.999,3.000,2.998,2.999,2.994,2.999,3.000,2.999,2.995,3.000,3.000,2.999,3.000,1.017E-3,202.0E-6,-363.9E-6,2.924,3.001,1.263E-3,680.0E-6,3.100E-3,501.7E-6,2.994,604.4E-6,3.002,1.131E-3,3.788E-3,3.000,3.000,2.999,366.9E-6,2.998,3.000,3.000,3.000,3.002,2.999,2.424E-3,6.074E-3,2.920
6.412E-6,3.000,3.000,3.001,3.000,3.001,3.000,6.822E-3,3.001,3.000,2.997,2.999,3.000,2.999,2.994,3.009,2.999,2.999,1.227E-3,2.999,-5.297E-3,3.000,-538.9E-6,2.995,-8.706E-3,2.058,3.000,3.001,12.31E-3,3.000,3.011,2.920,3.000,-1.105E-3,2.997,6.037E-3,2.999,-342.8E-6,3.005,2.090E-3,-1.281E-3,80.07E-6,-1.275E-3,3.000,3.001,9.177E-3
6.416E-6,2.999,2.998,3.001,2.999,3.002,3.001,3.000,3.000,2.999,1.964E-3,13.76E-3,5.932E-3,13.28E-3,5.922E-3,1.242E-3,5.164E-3,102.3E-6,3.002,-771.7E-6,3.000,2.576E-3,2.856E-3,2.982,8.813E-3,-144.2E-6,3.000,-435.6E-6,9.291E-3,2.999,8.422E-3,3.001,3.001,2.999,3.001,2.998,16.36E-3,68.92E-6,3.004,1.183E-3,11.66E-3,2.997,2.999,3.000,2.991,6.963E-3
6.420E-6,3.002,3.000,3.000,-406.9E-6,2.998,2.993,-77.15E-6,3.000,-4.531E-3,2.999,2.996,3.158E-3,3.177,3.012,311.4E-6,2.990,-227.9E-6,7.090E-3,-4.243E-3,12.34E-3,-1.885E-3,-2.118E-3,8.150E-3,-3.893E-3,-4.602E-3,1.137E-3,361.3E-6,11.90E-3,2.999,14.25E-3,3.005,3.000,1.123E-3,3.003,3.001,2.999,-1.005E-3,2.987,-250.3E-6,-26.86E-3,2.999,-1.407E-3,3.002,3.000,-3.885E-3
6.424E-6,3.002,3.000,3.000,2.997,3.000,3.000,2.987,3.002,3.000,2.999,2.999,2.990,3.000,-19.27E-3,2.995,2.999,2.985,3.002,5.141E-3,3.001,12.58E-3,1.044E-3,2.999,650.9E-3,-265.8E-6,20.53E-3,-2.336E-3,19.91E-3,15.72E-3,16.65E-3,2.993,42.48E-3,2.997,2.997,2.999,15.66E-3,-622.9E-6,1.615E-3,-162.9E-6,2.999,3.000,3.002,3.000,3.002,1.064E-3
6.428E-6,746.2E-6,-19.67E-3,3.001,2.998,3.000,-537.4E-6,3.003,2.998,3.003,467.1E-3,3.003,3.001,3.001,11.42E-3,3.004,3.001,2.999,2.998,3.002,3.000,-1.810E-3,2.984,2.987,2.996,3.000,2.999,-1.742E-3,2.984,2.999,2.975,919.8E-6,-3.613E-3,3.000,2.480,3.000,-2.475E-3,3.003,3.000,3.002,3.000,3.003,3.001,3.826E-3,25.85E-3,2.979
6.432E-6,3.000,2.999,2.997,3.000,2.999,2.999,2.991,3.000,3.000,-6.627E-3,2.999,4.347E-3,2.998,2.838,994.0E-6,2.999,3.008,3.000,7.569E-3,3.000,-9.651E-3,1.095E-3,2.994,2.996,3.274E-3,2.999,8.395E-3,-1.525E-3,1.187E-3,3.947E-3,2.993,2.130E-3,326.5E-3,2.998,3.000,9.091E-3,1.536E-3,6.494E-3,1.084E-3,5.929E-3,2.998,2.999,3.000,2.991,2.168E-3
6.436E-6,3.001,3.000,2.997,2.999,3.000,3.000,2.998,3.001,3.000,26.05E-3,2.996,8.630E-3,2.999,2.869,-78.88E-6,2.999,3.503E-3,3.001,466.5E-6,3.000,-5.490E-3,1.216E-3,2.999,1.313E-3,3.782E-6,6.067E-3,-543.7E-6,4.975E-3,9.793E-3,9.175E-3,2.997,2.999,2.999,3.001,3.000,-1.230E-3,23.73E-6,1.500E-3,43.56E-6,3.000,3.000,2.999,3.000,2.993,1.028E-3
6.440E-6,2.968E-3,19.06E-3,2.988,2.983,2.999,2.989,-3.298E-3,2.854E-3,-1.758E-3,2.997,3.002,3.002,3.002,2.981,2.998,3.002,3.001,2.990,3.000,2.999,3.002,-1.759E-3,1.515E-3,2.701E-3,2.983,3.001,3.003,-13.68E-3,22.34E-3,2.991,3.136E-3,3.000,4.663E-3,1.108E-3,21.33E-3,-1.769E-3,-786.3E-6,-4.900E-3,-1.435E-3,-5.194E-3,-4.033E-3,-1.380E-3,3.000,2.978,3.044
6.444E-6,4.925E-3,-9.310E-3,-9.480E-3,-8.757E-3,-8.374E-3,-3.506E-3,-11.59E-3,-7.266E-3,113.4E-6,3.013,3.008,2.996,3.007,2.999,3.005,3.014,3.011,-5.823E-3,-9.291E-3,9.894E-3,-4.656E-3,807.0E-6,-5.838E-3,2.968E-3,-8.550E-3,3.001,-1.260E-3,2.992,2.997,3.000,3.012,2.995,3.007,3.009,3.012,-7.985E-3,3.829E-3,-1.200E-3,9.604E-3,3.002,3.003,3.000,3.001,2.998,73.05E-6
6.448E-6,691.6E-6,2.212E-3,2.955,-1.025E-3,-874.6E-6,3.000,1.025E-3,3.000,2.999,2.995,2.999,4.088E-3,2.999,3.000,599.2E-6,2.999,3.110,1.138E-3,1.453E-3,2.995,5.042E-3,1.170E-3,7.421E-3,1.092E-3,786.4E-6,-1.165E-3,3.044,3.703E-3,25.07E-3,-440.5E-6,2.995,3.000,3.570E-3,3.000,2.999,2.999,2.250E-3,2.998,2.995,359.5E-6,2.985,1.200E-3,2.999,2.995,1.285E-3
6.452E-6,2.984,2.999,2.998,-20.23E-3,2.998,-2.998E-3,620.3E-6,3.000,3.001,-6.384E-3,2.981,-16.63E-3,3.001,-21.08E-3,743.2E-6,3.000,2.984,3.001,4.558E-3,13.26E-3,5.630E-3,2.977,2.998,2.980,126.8E-6,21.23E-3,-2.075E-3,-15.31E-3,21.86E-3,-15.50E-3,2.982,-2.410E-3,3.004,3.001,3.005,2.998E-3,2.981,2.991,2.995,3.004,2.998,3.003,8.107E-3,18.06E-3,2.988
6.456E-6,1.094E-3,2.998,3.000,2.999,2.998,3.000,2.999,2.998,2.999,2.996,3.001,2.998,2.999,2.872,3.001,3.000,3.000,3.000,2.999,2.999,24.86E-3,918.0E-6,3.000,2.999,231.0E-3,8.358E-3,15.66E-6,3.790E-3,2.999,2.996,1.566E-3,-365.8E-6,2.986,2.999,2.999,3.866E-3,2.997,2.999,3.000,2.999,3.001,2.999,2.999,2.999,802.7E-6
6.460E-6,3.008,2.999,3.000,3.000,2.999,3.002,3.002,3.004,2.997,2.999,2.998,2.978,2.998,2.978,3.002,3.000,3.001,347.0E-6,3.003,2.999,2.999,3.021,2.980,2.997,3.002,3.000,3.001,3.000,3.000,2.986,-1.480E-3,8.226E-3,737.3E-6,-2.316E-3,9.912E-3,1.351E-3,3.022,2.980,2.999,2.998,2.987,3.000,434.6E-6,2.999,2.989
6.464E-6,3.001,2.999,3.001,10.26E-3,3.000,2.998,10.92E-3,3.001,2.999,1.909E-3,2.997,2.994,2.999,-17.38E-3,2.994,2.999,2.995,3.000,3.000,3.000,2.998,-168.5E-3,2.993,2.998,1.028E-3,11.38E-3,1.942E-3,12.26E-3,10.52E-3,7.252E-3,2.994,260.2E-6,912.1E-6,-3.822E-3,-9.958E-3,8.454E-3,270.1E-6,728.7E-6,1.133E-3,3.000,2.999,3.001,2.999,3.001,2.993
6.468E-6,-1.772E-3,9.307E-3,625.9E-6,2.998,39.06E-3,3.017,2.995,7.580E-3,1.616E-3,2.983,3.001,2.999,2.996,2.998,3.000,2.986,3.000,5.682E-3,9.778E-3,3.000,3.015,4.947E-3,12.94E-3,38.03E-3,2.997,3.001,2.998,2.998,2.999,2.998,2.999,2.999,8.165E-3,2.993,2.998,744.0E-6,5.317E-3,7.856E-3,4.361E-3,3.772E-3,3.211E-3,2.720E-3,2.996,2.997,15.03E-3
6.472E-6,1.831E-3,348.8E-3,3.001,6.582E-3,2.998,2.999,5.464E-3,3.000,712.1E-6,-2.849E-3,2.993,2.999,2.999,3.000,2.980,2.998,2.997,3.000,-1.652E-3,3.000,525.9E-6,993.0E-6,2.995,1.106E-3,-144.8E-6,-895.9E-6,2.221E-3,8.258E-3,-90.21E-6,-2.601E-3,3.001,2.999,-411.7E-6,3.000,2.781E-3,9.322E-3,375.0E-6,796.7E-6,196.7E-6,2.995,3.001,2.994,3.001,3.001,857.8E-6
6.476E-6,2.999,6.915E-3,2.999,2.998,2.999,2.998,3.002,2.998,2.998,9.045E-3,2.999,3.002,3.000,-9.632E-3,2.999,2.999,2.999,2.999,2.998,2.997,2.998,2.998,3.005,3.003,3.000,2.998,40.73E-6,3.001,3.001,2.998,2.991,1.431E-3,2.999,2.992,2.999,-1.768E-3,1.248E-3,-549.7E-6,6.325E-3,2.998,3.001,2.998,2.999,2.998,2.993
6.480E-6,1.316E-3,14.25E-3,-349.7E-6,3.818E-3,-5.378E-3,11.48E-3,-217.2E-6,15.39E-3,-1.106E-3,3.010,2.999,2.997,2.987,2.996,3.014,2.986,3.029,-50.04E-6,3.017E-3,3.001,-31.53E-3,25.60E-6,3.008,1.163E-3,9.618E-3,3.001,10.60E-3,12.94E-3,3.000,3.011,2.984,2.998,-858.3E-6,3.001,2.989,314.4E-3,13.65E-3,2.942,-28.24E-3,210.6E-9,2.995,2.380,3.001,3.000,394.9E-6
6.484E-6,2.999,2.998,3.000,4.295E-3,2.998,3.003,10.79E-3,2.998,-429.5E-6,3.002,3.001,11.50E-3,4.533E-3,2.994,890.3E-6,3.002,-3.785E-3,854.4E-6,-1.976E-3,618.8E-6,-3.160E-3,654.3E-6,-3.042E-3,-4.134E-3,-2.143E-3,-4.584E-3,1.194E-3,10.29E-3,8.752E-3,13.29E-3,3.003,2.998,-10.45E-6,3.000,2.999,3.000,1.345E-3,3.003,2.994,2.998,3.001,-2.384E-3,2.999,2.998,-2.745E-3
6.488E-6,5.374E-3,-9.392E-3,-5.130E-3,-10.60E-3,-10.41E-3,1.415E-3,-12.37E-3,-11.06E-3,360.7E-6,2.988,2.999,2.983,2.999,2.993,3.003,3.008,-31.19E-3,-4.003E-3,2.709E-3,3.096,2.996,-6.945E-3,-9.409E-3,5.761E-3,2.997,3.000,2.997,-3.092E-3,2.998,-30.53E-3,2.989,2.999,-1.930E-3,3.007,3.013,3.004,20.73E-3,2.999,2.999,-1.021E-3,-7.174E-3,-1.487E-3,3.005,2.998,-699.6E-6
6.492E-6,1.616E-3,7.134E-3,1.102E-3,2.998,2.999,1.047E-3,2.993,1.298E-3,2.997,2.999,3.000,3.000,3.000,3.000,2.993,3.000,2.999,3.000,3.000,18.02E-3,-4.739E-3,3.006,3.000,2.995,2.995,2.998,386.1E-6,-4.780E-3,-7.681E-3,2.994,1.107E-3,4.627E-3,1.030E-3,569.6E-6,2.999,2.799E-3,3.003,1.005E-3,2.999,3.000,2.997,3.000,44.66E-3,3.000,2.994
6.496E-6,-2.590E-3,-161.4E-6,284.4E-6,579.8E-6,8.737E-3,810.0E-6,774.3E-6,634.1E-6,677.6E-6,2.999,3.000,2.999,3.003,2.999,1.460E-3,3.003,3.001,1.514E-3,-85.80E-6,3.003,-3.973E-3,1.746E-3,976.4E-6,1.624E-3,-240.8E-6,2.998,16.71E-3,-525.2E-6,-15.84E-3,4.160E-3,3.004,2.986,3.003,3.005,3.004,-1.149E-3,-3.735E-3,-2.527E-3,-4.902E-3,3.002,3.003,3.003,2.998,2.999,990.0E-6
6.500E-6,460.2E-6,2.999,3.000,2.998,3.001,2.600E-3,3.000,3.000,3.001,144.4E-6,3.002,3.000,2.996,-2.913E-3,3.001,4.118E-3,2.989,3.001,2.991,2.903E-3,4.249E-3,2.998,2.988,2.989,2.993,402.3E-3,531.8E-6,2.990,2.999,3.001,-473.7E-6,8.116E-3,3.000,957.1E-6,3.000,2.595E-3,2.991,2.991,2.997,3.001,2.991,3.001,5.060E-3,11.47E-3,2.989
6.504E-6,2.695E-3,112.1E-3,3.003,2.998,2.998,3.001,3.000,2.998,3.000,2.998,2.999,2.992,2.999,2.991,3.003,3.000,2.993,2.996,3.002,2.998,8.940E-3,3.001,2.989,2.999,3.001,4.052E-3,2.999,3.000,20.25E-3,2.997,490.5E-6,-3.400E-3,-559.1E-6,-2.507E-3,1.502E-3,633.8E-6,2.995,2.998,3.001,3.000,-543.1E-6,2.998,2.999,3.000,2.989
6.508E-6,2.999,3.001,2.995,3.002,3.002,2.986,2.484E-3,3.003,3.001,2.998,3.001,2.997,2.996,2.997,2.698E-3,2.990,2.996,2.995,4.800E-3,3.002,3.002,3.882E-3,2.986,2.991,-5.452E-3,3.158,-37.85E-3,-69.57E-3,-49.74E-3,-43.80E-3,3.022,2.999,21.35E-3,2.986,2.998,20.75E-3,8.475E-3,3.408E-3,6.103E-3,3.905E-3,11.44E-3,3.000,3.000,2.974,3.039
6.512E-6,2.013E-3,69.46E-3,-28.97E-9,2.999,2.596E-3,868.8E-6,2.999,-995.7E-6,3.002,3.003,3.000,3.002,2.998,3.000,3.003,3.003,3.004,451.8E-6,2.991,-2.569E-3,10.28E-3,1.965E-3,730.1E-6,2.993,3.002,2.998,2.930,3.003,2.999,2.995,1.312E-3,-422.2E-6,2.999,2.999,2.999,2.994,3.003,2.991,3.000,2.999,3.001,2.999,1.074E-3,2.999,2.990
6.516E-6,2.030E-3,1.778E-3,3.001,2.999,-8.483E-3,2.996,2.727E-3,2.999,2.999,29.47E-3,2.996,-8.997E-3,2.996,2.998,3.848E-3,2.999,3.007,2.997,3.944E-3,3.000,-10.01E-3,3.010,2.996,3.708E-3,7.353E-3,-5.664E-3,4.020E-3,-141.7E-6,-1.405E-3,-9.581E-3,2.994,2.997,2.999,2.993,2.998,-7.755E-3,3.148E-3,3.741E-3,2.557E-3,3.000,2.998,3.000,2.999,3.001,2.413E-3
6.520E-6,2.999,345.3E-3,2.999,2.999,2.999,2.991,2.992,2.998,2.999,-258.1E-6,2.999,958.6E-3,2.998,2.997,-556.1E-6,3.000,2.987,3.000,9.845E-3,3.000,-2.363E-3,2.427,2.993,2.991,3.156E-3,2.999,3.747E-3,8.322E-3,16.65E-3,2.053E-3,2.989,-1.304E-3,-932.5E-6,2.998,2.999,-922.3E-6,-1.335E-3,181.6E-6,7.918E-3,2.999,3.001,2.999,2.999,2.995,1.033E-3
6.524E-6,2.999,2.999,3.001,3.335E-3,2.999,3.001,2.998,3.000,2.999,-525.9E-6,4.357E-3,12.94E-3,9.215E-3,-3.830E-3,-73.57E-6,9.874E-3,9.827E-3,639.4E-6,6.066E-3,471.6E-6,1.936E-3,1.237E-3,3.004,2.967E-3,2.245E-3,145.6E-3,5.646E-3,-9.609E-3,3.000,-731.2E-6,3.000,3.000,3.000,3.002,2.999,2.999,-69.23E-3,2.994,2.999,-4.864E-3,2.987,544.1E-6,3.000,11.11E-3,341.3E-6
6.528E-6,1.108E-3,17.13E-3,3.003,3.001,3.003,2.999,2.988,2.999,3.003,-7.041E-3,3.002,2.989,2.993,-5.928E-3,3.001,3.001,2.985,3.004,3.002,3.000,2.999,2.997,2.996,2.997,2.986,1.724,-2.842E-3,2.998,2.997,2.998,-385.4E-6,1.115E-3,2.999,-878.0E-6,2.999,14.33E-3,2.993,1.446E-3,2.999,3.001,3.000,3.002,15.11E-3,2.986,2.982
6.532E-6,-793.5E-6,3.000,827.7E-6,2.999,3.000,2.996,3.000,1.699E-3,140.9E-3,2.986,3.000,2.989,3.001,3.003,3.000,2.994,2.994,-1.417E-3,5.580E-3,2.998,2.999,2.755E-3,5.149E-3,8.349E-3,2.997,3.001,3.001,612.2E-3,2.996,3.014,2.993,3.000,-1.444E-3,315.0E-3,662.3E-6,2.999,-456.9E-6,400.2E-6,883.6E-6,-828.6E-6,-677.4E-6,-1.313E-3,3.000,3.000,8.617E-3
6.536E-6,3.004,3.002,3.004,7.098E-3,3.001,3.002,2.999,3.003,2.998,-15.14E-3,19.91E-3,16.34E-3,-6.243E-3,-14.17E-3,18.43E-3,10.73E-3,9.340E-3,352.6E-6,3.661E-3,-1.799E-3,15.87E-3,2.992,3.006,5.863E-3,11.50E-3,18.04E-3,697.7E-6,2.996,2.999,-13.61E-3,2.992,3.000,3.002,2.997,3.000,2.997,3.005,2.983,2.995,3.009,2.981,3.001,2.992,20.24E-3,5.688E-3
6.540E-6,3.000,2.997,2.998,2.999,3.004,2.993,2.999,2.998,2.999,579.5E-6,8.619E-3,1.648E-3,397.6E-6,-1.781E-3,231.9E-3,-15.99E-3,2.999,3.002,3.000,3.000,2.999,2.993,2.997,2.992,3.000,3.000,-730.0E-6,2.994,3.003,2.996,907.0E-6,-2.904E-3,2.481,746.5E-6,1.967E-3,-3.086E-3,3.000,2.999,102.3E-6,2.998,3.004,2.999,9.086E-3,2.405E-3,2.694
6.544E-6,1.991E-3,2.999,2.998,-2.101E-3,2.995,2.996,2.999,2.999,-757.0E-6,-1.854E-3,6.209E-3,1.385E-3,2.997,3.002,4.105E-3,2.995,1.623E-3,2.998,2.242E-3,2.999,2.983,-523.7E-6,3.000,2.706E-3,2.854E-3,2.996,896.4E-6,4.487E-3,3.505E-3,3.667E-3,2.997,2.999,4.469E-3,2.998,2.999,4.695E-3,4.338E-3,1.613E-3,3.209E-3,3.942E-3,2.998,2.999,2.999,2.996,3.890E-3
6.548E-6,1.532E-3,2.999,1.220E-3,3.002,3.015,3.001,2.977,17.15E-3,3.001,3.000,3.001,3.002,2.996,3.000,2.999,3.000,2.995,19.57E-6,3.002,2.999,2.999,1.842,3.012,2.988,2.992,3.000,3.000,2.823E-3,3.008,2.992,-626.6E-6,20.79E-3,-2.540E-3,-2.426E-3,21.75E-3,8.152E-3,2.989,430.3E-6,3.000,452.0E-6,261.5E-6,2.996,2.999,2.993,2.982
6.552E-6,3.001,3.000,3.000,2.999,2.999,2.998,5.679E-3,2.999,2.998,-2.428E-3,3.000,2.998,2.999,2.575,1.626E-3,3.000,8.891E-3,3.000,-451.9E-6,3.000,2.998,277.2E-6,2.997,1.259E-3,567.0E-6,-7.155E-3,3.223E-3,9.024E-3,4.975E-3,4.931E-3,2.994,2.999,43.71E-3,3.000,3.000,8.593E-3,415.4E-6,1.722E-3,392.8E-6,6.257E-3,1.252E-3,1.557E-3,3.000,2.996,969.0E-6
6.556E-6,91.97E-6,28.62E-3,-1.247E-3,20.34E-3,21.57E-3,-98.52E-6,-8.167E-6,15.34E-3,-1.204E-3,3.000,3.001,3.000,3.003,2.981,3.001,3.003,2.999,-271.0E-6,1.679E-3,3.001,2.999,201.8E-6,2.952,1.317E-3,1.235,3.001,17.32E-3,25.96E-3,2.999,2.467,2.975,19.36E-3,9.621E-3,2.998,3.000,1.169E-3,-386.4E-6,-12.56E-3,1.111E-3,898.8E-6,3.030,-7.749E-3,3.000,3.001,548.5E-6
6.560E-6,1.220E-3,-4.116E-3,2.998,2.999,2.998,2.998,1.409E-3,2.999,2.999,2.999,2.999,2.999,3.000,2.999,1.255E-3,2.999,2.993,2.999,2.999,3.000,85.71E-3,1.454E-3,2.992,2.994,285.7E-3,2.999,8.174E-3,1.249E-3,2.416,2.996,2.993,2.447E-3,709.0E-6,2.995,2.999,5.643E-3,2.710E-3,1.476E-3,5.536E-3,2.999,2.995,3.000,2.999,2.995,2.993
6.564E-6,2.392E-3,-1.051E-6,2.138E-3,2.999,25.58E-3,1.314E-3,3.001,7.707E-3,3.002,3.003,2.999,2.999,2.998,2.996,3.003,3.001,3.002,-793.7E-6,1.347E-3,-910.3E-6,7.767E-3,3.003,6.417E-3,1.137E-3,2.998,2.431E-3,5.251E-3,2.994,-678.5E-6,27.66E-3,91.69E-6,1.586E-3,2.691E-3,562.8E-6,2.999,2.997,2.995,2.993,2.999,2.998,3.000,2.999,5.707E-3,3.000,-70.34E-3
6.568E-6,2.567E-3,-3.060E-3,-3.365E-3,3.000,17.69E-3,1.072E-3,2.999,4.076E-3,2.999,3.003,2.999,2.988,2.999,2.991,3.003,3.003,2.990,-1.225E-3,3.001,2.999,3.014,361.6E-6,-1.686E-3,2.994,2.999,3.000,2.999,2.996,2.999,2.988,943.5E-3,-238.6E-6,3.001,1.389,2.999,2.257E-3,5.695E-3,236.1E-6,15.98E-3,3.000,2.999,2.999,-17.48E-3,2.998,2.992
6.572E-6,-6.431E-3,3.000,796.0E-6,2.999,3.001,2.987,3.000,3.000,2.974,2.965,2.989,3.000,3.003,3.016,2.979,2.992,27.32E-3,-3.667E-3,-1.595E-3,-6.279E-3,20.77E-3,-2.485E-3,1.072E-3,11.17E-3,3.001,3.003,3.000,24.64E-3,2.999,3.022,-537.5E-6,2.998,-3.181E-3,1.611,2.950E-3,3.027,81.48E-6,2.999,2.998,-902.6E-6,718.8E-6,-2.414E-3,3.004,3.001,-2.993E-3
6.576E-6,2.999,2.998,2.999,6.973E-3,2.998,2.999,2.998,2.999,2.998,-1.631E-3,3.486E-3,9.262E-3,10.86E-3,4.529E-3,7.775E-3,12.92E-3,-903.6E-6,3.004,-1.366E-3,1.436E-3,1.815E-3,1.270E-3,2.988,660.4E-6,73.98E-6,11.42E-3,867.4E-6,-4.672E-3,3.000,4.640E-3,3.000,2.999,2.999,3.000,2.998,-6.108E-3,1.371E-3,2.999,2.988,-10.67E-3,2.992,2.999,2.999,953.7E-3,-651.3E-6
6.580E-6,3.000,2.999,2.999,864.5E-6,2.999,340.3E-3,6.209E-3,2.999,5.918E-3,2.997,2.452,-5.026E-3,1.426E-3,2.832,691.7E-6,673.5E-3,909.2E-6,5.595E-3,692.8E-6,1.315E-3,5.705E-3,3.995E-3,2.562E-3,4.159E-3,6.865E-3,5.248E-3,1.693E-3,441.1E-6,2.999,-5.325E-3,2.994,2.996,1.610,2.995,2.998,3.644E-3,1.043E-3,2.995,-4.027E-3,1.437E-3,2.998,2.970,2.998,2.999,6.796E-3
6.584E-6,-1.524E-3,-10.69E-3,1.217E-3,3.001,3.001,1.005E-3,3.005,3.000,3.004,2.994,2.987,2.998,3.000,3.000,2.992,2.980,2.977,-1.553E-3,2.999,1.665E-3,22.89E-3,3.028,-38.49E-3,2.976,2.997,-26.13E-3,17.70E-3,2.976,3.002,2.982,-1.835E-3,11.00E-3,2.999,940.8E-6,3.002,860.2E-3,2.981,2.976,2.996,3.004,2.987,3.003,22.64E-3,2.999,3.015
